2025-12-15 10:41:34 | Robo E-Processo | DEBUG | 
INICIANDO TELA DE MONITORAMENTO DO ROBO

2025-12-15 10:41:34 | Robo E-Processo | INFO | 
Iniciando execução do robô de renomeação e movimentação de PDFs

2025-12-15 10:41:36 | Robo E-Processo | INFO | Acesso liberado para Tecnico, executando robô...
2025-12-15 10:41:37 | Robo E-Processo | INFO | Total de processos encontrados: 49
2025-12-15 10:41:37 | Robo E-Processo | INFO | 
Processos a serem modificados: [('11974001910201180', 'Lethicia'), ('11974001924201101', 'Lethicia'), ('11974003820200917', 'Lethicia'), ('11974001907201166', 'Lethicia'), ('11974002333201143', 'Lethicia'), ('11974001923201159', 'Lethicia'), ('11974001922201112', 'Lethicia'), ('11974001921201160', 'Lethicia'), ('11974001920201115', 'Lethicia'), ('10820000519200619', 'Beatriz'), ('10820001698200501', 'Beatriz'), ('10820001017200505', 'Beatriz'), ('11974001834201021', 'Beatriz'), ('11974003826200986', 'Lethicia'), ('11974002370201071', 'Lethicia'), ('15871000062200986', 'Lethicia'), ('11974000835201300', 'Lethicia'), ('11974000834201357', 'Lethicia'), ('11974000223200507', 'Lethicia'), ('15868000455201082', 'Lethicia'), ('15868000456201027', 'Lethicia'), ('15868000457201071', 'Lethicia'), ('15868001440200906', 'Lethicia'), ('11974000059201330', 'Beatriz'), ('11974000495201147', 'Beatriz'), ('11974000494201101', 'Beatriz'), ('11974001915201111', 'Beatriz'), ('11974001918201146', 'Beatriz'), ('11974001919201191', 'Beatriz'), ('11974001914201168', 'Beatriz'), ('11974000497201136', 'Beatriz'), ('11974002100200926', 'Michelly'), ('11974002099200930', 'Michelly'), ('11974000496201191', 'Beatriz'), ('11974001916201157', 'Beatriz'), ('11974001917201100', 'Beatriz'), ('108200005989175', 'Michelly'), ('108200014259788', 'Michelly'), ('108200006669395', 'Michelly'), ('108200030799619', 'Michelly'), ('108200010189815', 'Beatriz'), ('108200017689643', 'Michelly'), ('46265002368201830', 'Beatriz'), ('138230000759629', 'Michelly'), ('108200013229231', 'Michelly'), ('11974002726200932', 'Beatriz'), ('11974002724200943', 'Beatriz'), ('11974004427200932', 'Beatriz'), ('11974004426200998', 'Beatriz')]

2025-12-15 10:41:39 | Robo E-Processo | INFO | Pasta 'Lote - 1 - 15-12-2025 - 10:41' criada com sucesso! ID: 1EMRTmly0O3T3ujguI9pcpqz2nEDnXMNC
2025-12-15 10:41:39 | Robo E-Processo | INFO | 🔄 Iniciando fluxo para processo 11974001910201180

2025-12-15 10:41:39 | Robo E-Processo | INFO | ID da pasta do digitalizador 'Lethicia' encontrado: 1oRhvLME0GLwu7sy0N4HBQaqqhnWF17wl
2025-12-15 10:41:44 | Robo E-Processo | INFO | [OK] Processo 11974001910201180 copiado e arquivos renomeados.

